50000,10,620,16,263,914,0
100000,6,2247,15,977,3332,0
150000,3,5038,15,1814,7719,0
200000,8,9007,16,3270,15239,0
250000,16,13937,15,5054,21765,0
300000,8,20338,15,7270,76894,0
350000,9,27253,15,9890,99635,0
400000,10,35578,15,12882,124999,0
450000,16,45996,15,21781,156423,0
500000,12,55438,15,20122,195955,0
550000,16,67297,16,24416,255422,0
600000,17,79824,15,28943,296475,0
650000,17,93729,15,33997,349896,0
700000,19,108735,15,39238,401986,0
750000,27,125138,15,45112,439331,0
800000,22,141819,16,51283,492040,0
850000,30,160080,15,57856,551477,0
900000,32,179428,16,64739,615397,0
950000,33,199908,16,72306,683873,0
1000000,52,221426,16,80025,782608,0
