5000,1,163,114
10000,1,109,131
15000,2,183,113
20000,1,113,106
25000,1,111,106
30000,3,150,116
35000,4,124,106
40000,0,170,121
45000,0,185,112
50000,0,149,116
55000,1,153,110
60000,1,198,108
65000,1,162,106
70000,1,198,107
75000,2,201,109
80000,0,207,111
85000,0,203,113
90000,0,202,122
95000,0,162,104
100000,0,202,117
